Pt.	Date	Time	RT/s	R/Omiga	
	374	2018_02_13	17_54_23	3730	107.60042
	375	2018_02_13	17_54_33	3740	107.60083
	376	2018_02_13	17_54_43	3750	107.6013
	377	2018_02_13	17_54_53	3760	107.60206
	378	2018_02_13	17_55_03	3770	107.6023
	379	2018_02_13	17_55_13	3780	107.60248
	380	2018_02_13	17_55_23	3790	107.60327
	381	2018_02_13	17_55_33	3800	107.6038
	382	2018_02_13	17_55_43	3810	107.60383
	383	2018_02_13	17_55_53	3820	107.60444
	384	2018_02_13	17_56_03	3830	107.6045
	385	2018_02_13	17_56_13	3840	107.60477
	386	2018_02_13	17_56_23	3850	107.60541
	387	2018_02_13	17_56_33	3860	107.60594
	388	2018_02_13	17_56_43	3870	107.606
	389	2018_02_13	17_56_53	3880	107.60632
	390	2018_02_13	17_57_03	3890	107.60668
	391	2018_02_13	17_57_13	3900	107.60703
	392	2018_02_13	17_57_23	3910	107.60756
	393	2018_02_13	17_57_33	3920	107.60709
	394	2018_02_13	17_57_43	3930	107.60823
	395	2018_02_13	17_57_53	3940	107.6077
	396	2018_02_13	17_58_03	3950	107.60844
	397	2018_02_13	17_58_13	3960	107.60911
	398	2018_02_13	17_58_23	3970	107.60876
	399	2018_02_13	17_58_33	3980	107.60885
	400	2018_02_13	17_58_43	3990	107.60897
	401	2018_02_13	17_58_53	4000	107.60929
	402	2018_02_13	17_59_03	4010	107.60991
	403	2018_02_13	17_59_13	4020	107.61026
	404	2018_02_13	17_59_23	4030	107.61017
	405	2018_02_13	17_59_33	4040	107.61032
	406	2018_02_13	17_59_43	4050	107.61079
	407	2018_02_13	17_59_53	4060	107.61087
	408	2018_02_13	18_00_03	4070	107.6107
	409	2018_02_13	18_00_13	4080	107.6114
	410	2018_02_13	18_00_23	4090	107.61146
	411	2018_02_13	18_00_33	4100	107.61179
	412	2018_02_13	18_00_43	4110	107.61176
	413	2018_02_13	18_00_53	4120	107.61199
	414	2018_02_13	18_01_03	4130	107.61258
	415	2018_02_13	18_01_13	4140	107.61261
	416	2018_02_13	18_01_23	4150	107.61281
	417	2018_02_13	18_01_33	4160	107.61322
	418	2018_02_13	18_01_43	4170	107.61352
	419	2018_02_13	18_01_53	4180	107.61399
	420	2018_02_13	18_02_03	4190	107.61393
	421	2018_02_13	18_02_13	4200	107.61402
	422	2018_02_13	18_02_23	4210	107.61419
	423	2018_02_13	18_02_33	4220	107.61396
	424	2018_02_13	18_02_43	4230	107.61449
	425	2018_02_13	18_02_53	4240	107.61469
	426	2018_02_13	18_03_03	4250	107.61452
